id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,36026,192.168.137.226,0c:8b:95:09:c6:08,0c:8b:95,135,6,4,0,0,1703260973912,1703260974016,104,2,120,1703260973912,1703260973912,0,1,60,1703260974016,1703260974016,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,104,104.0,0.0,104,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,RPC,RPC,1,1,,,,,
1,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,36026,192.168.137.226,0c:8b:95:09:c6:08,0c:8b:95,587,6,4,0,0,1703260973912,1703260974017,105,2,120,1703260973912,1703260973912,0,1,60,1703260974017,1703260974017,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,105,105.0,0.0,105,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,SMTP,Email,1,1,,,,,
2,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,36026,192.168.137.226,0c:8b:95:09:c6:08,0c:8b:95,23,6,4,0,0,1703260973912,1703260974017,105,2,120,1703260973912,1703260973912,0,1,60,1703260974017,1703260974017,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,105,105.0,0.0,105,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Telnet,RemoteAccess,1,1,,,,,
3,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,36026,192.168.137.226,0c:8b:95:09:c6:08,0c:8b:95,53,6,4,0,0,1703260973912,1703260974020,108,2,120,1703260973912,1703260973912,0,1,60,1703260974020,1703260974020,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,108,108.0,0.0,108,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,DNS,Network,1,1,,,,,
4,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,36026,192.168.137.226,0c:8b:95:09:c6:08,0c:8b:95,443,6,4,0,0,1703260973912,1703260974020,108,2,120,1703260973912,1703260973912,0,1,60,1703260974020,1703260974020,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,108,108.0,0.0,108,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,TLS,Web,1,1,,,,,
5,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,36026,192.168.137.226,0c:8b:95:09:c6:08,0c:8b:95,110,6,4,0,0,1703260973912,1703260974020,108,2,120,1703260973912,1703260973912,0,1,60,1703260974020,1703260974020,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,108,108.0,0.0,108,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,POP3,Email,1,1,,,,,
6,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,36026,192.168.137.226,0c:8b:95:09:c6:08,0c:8b:95,22,6,4,0,0,1703260973912,1703260974020,108,2,120,1703260973912,1703260973912,0,1,60,1703260974020,1703260974020,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,108,108.0,0.0,108,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,SSH,RemoteAccess,1,1,,,,,
7,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,36026,192.168.137.226,0c:8b:95:09:c6:08,0c:8b:95,1025,6,4,0,0,1703260973912,1703260974021,109,2,120,1703260973912,1703260973912,0,1,60,1703260974021,1703260974021,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,109,109.0,0.0,109,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Unknown,Unspecified,0,0,,,,,
8,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,36026,192.168.137.226,0c:8b:95:09:c6:08,0c:8b:95,445,6,4,0,0,1703260973914,1703260974021,107,2,120,1703260973914,1703260973914,0,1,60,1703260974021,1703260974021,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,107,107.0,0.0,107,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,SMBv23,System,1,1,,,,,
9,0,192.168.137.85,a8:6b:ad:1f:9b:e5,a8:6b:ad,36026,192.168.137.226,0c:8b:95:09:c6:08,0c:8b:95,8080,6,4,0,0,1703260973914,1703260974021,107,2,120,1703260973914,1703260973914,0,1,60,1703260974021,1703260974021,0,1,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,60,107,107.0,0.0,107,0,0.0,0.0,0,0,0.0,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,HTTP_Proxy,Web,1,1,,,,,
